,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
65,Rwanda,Mali,Rwanda,10 wickets,Kigali,"Nov 24, 2022",T20I # 1919
66,Malawi,St Helena,Malawi,10 wickets,Rwanda,"Nov 24, 2022",T20I # 1916
67,Rwanda,Seychelles,Rwanda,75 runs,Kigali,"Nov 24, 2022",T20I # 1917
68,Malawi,Seychelles,no result,-,Rwanda,"Nov 22, 2022",T20I # 1914
69,Mali,St Helena,no result,-,Kigali,"Nov 22, 2022",T20I # 1915
70,Botswana,Mali,Botswana,5 wickets,Rwanda,"Nov 22, 2022",T20I # 1912
71,Lesotho,St Helena,St Helena,45 runs,Kigali,"Nov 22, 2022",T20I # 1913
72,New Zealand,India,tied,-,Napier,"Nov 22, 2022",T20I # 1911
73,Oman,Canada,Canada,8 wickets,Al Amerat,"Nov 21, 2022",T20I # 1910
74,Bahrain,Saudi Arabia,Saudi Arabia,32 runs,Al Amerat,"Nov 21, 2022",T20I # 1909
75,Rwanda,Malawi,Rwanda,41 runs,Rwanda,"Nov 21, 2022",T20I # 1907
76,Seychelles,St Helena,St Helena,2 runs,Kigali,"Nov 21, 2022",T20I # 1908
77,Kenya,Lesotho,Kenya,167 runs,Kigali,"Nov 21, 2022",T20I # 1905
78,Malawi,Mali,Malawi,74 runs,Rwanda,"Nov 21, 2022",T20I # 1906
79,Bahrain,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,"Nov 20, 2022",T20I # 1904
80,Oman,Canada,Canada,3 wickets,Al Amerat,"Nov 20, 2022",T20I # 1903
81,Lesotho,Seychelles,Lesotho,7 wickets,Kigali,"Nov 20, 2022",T20I # 1901
82,Rwanda,Kenya,Kenya,9 wickets,Rwanda,"Nov 20, 2022",T20I # 1902
83,Botswana,Malawi,Malawi,4 wickets,Rwanda,"Nov 20, 2022",T20I # 1899
84,Kenya,Mali,Kenya,10 wickets,Kigali,"Nov 20, 2022",T20I # 1900
85,New Zealand,India,India,65 runs,Mount Maunganui,"Nov 20, 2022",T20I # 1898
86,Oman,Bahrain,Oman,106 runs,Al Amerat,"Nov 19, 2022",T20I # 1897
87,Canada,Saudi Arabia,Canada,45 runs,Al Amerat,"Nov 19, 2022",T20I # 1896
88,Kenya,Malawi,no result,-,Rwanda,"Nov 18, 2022",T20I # 1894
89,Mali,Seychelles,no result,-,Kigali,"Nov 18, 2022",T20I # 1895
90,Botswana,Lesotho,Botswana,10 wickets,Kigali,"Nov 18, 2022",T20I # 1892
91,Rwanda,St Helena,Rwanda,54 runs,Rwanda,"Nov 18, 2022",T20I # 1893
92,Bahrain,Canada,Bahrain,8 wickets,Al Amerat,"Nov 17, 2022",T20I # 1891
93,Oman,Saudi Arabia,Oman,7 wickets,Al Amerat,"Nov 17, 2022",T20I # 1890
94,Botswana,Seychelles,no result,-,Kigali,"Nov 17, 2022",T20I # 1888
95,Kenya,St Helena,no result,-,Rwanda,"Nov 17, 2022",T20I # 1889
96,Lesotho,Mali,Lesotho,31 runs,Kigali,"Nov 17, 2022",T20I # 1886
97,Rwanda,Botswana,Rwanda,5 wickets,Rwanda,"Nov 17, 2022",T20I # 1887
98,Oman,Canada,Canada,1 run,Al Amerat,"Nov 16, 2022",T20I # 1885
99,Bahrain,Saudi Arabia,Bahrain,53 runs,Al Amerat,"Nov 16, 2022",T20I # 1884
100,Oman,Bahrain,Bahrain,6 wickets,Al Amerat,"Nov 15, 2022",T20I # 1883
101,Canada,Saudi Arabia,Canada,66 runs,Al Amerat,"Nov 15, 2022",T20I # 1882
102,Bahrain,Canada,Canada,4 wickets,Al Amerat,"Nov 14, 2022",T20I # 1881
103,Oman,Saudi Arabia,Oman,9 wickets,Al Amerat,"Nov 14, 2022",T20I # 1880
104,England,Pakistan,England,5 wickets,Melbourne,"Nov 13, 2022",T20I # 1879
105,England,India,England,10 wickets,Adelaide,"Nov 10, 2022",T20I # 1878
106,New Zealand,Pakistan,Pakistan,7 wickets,Sydney,"Nov 9, 2022",T20I # 1877
107,Spain,Italy,Italy,33 runs,Almeria,"Nov 6, 2022",T20I # 1876
108,Tanzania,Rwanda,Tanzania,10 wickets,Dar-es-Salaam,"Nov 6, 2022",T20I # 1875
109,Spain,Germany,Spain,5 runs,Almeria,"Nov 6, 2022",T20I # 1874
110,India,Zimbabwe,India,71 runs,Melbourne,"Nov 6, 2022",T20I # 1873
111,Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,"Nov 6, 2022",T20I # 1872
112,Netherlands,South Africa,Netherlands,13 runs,Adelaide,"Nov 6, 2022",T20I # 1871
113,Spain,Germany,Germany,36 runs,Almeria,"Nov 5, 2022",T20I # 1870
114,Tanzania,Rwanda,Tanzania,3 wickets,Dar-es-Salaam,"Nov 5, 2022",T20I # 1869
115,Spain,Italy,Spain,4 wickets,Almeria,"Nov 5, 2022",T20I # 1868
116,England,Sri Lanka,England,4 wickets,Sydney,"Nov 5, 2022",T20I # 1867
117,Germany,Italy,Germany,8 wickets,Almeria,"Nov 4, 2022",T20I # 1866
118,Germany,Italy,Germany,10 wickets,Almeria,"Nov 4, 2022",T20I # 1865
119,Australia,Afghanistan,Australia,4 runs,Adelaide,"Nov 4, 2022",T20I # 1864
120,Tanzania,Rwanda,Tanzania,77 runs,Dar-es-Salaam,"Nov 4, 2022",T20I # 1863
121,Ireland,New Zealand,New Zealand,35 runs,Adelaide,"Nov 4, 2022",T20I # 1862
