Player,Games,Kills,Assists,Knocks,Dmg dealt,Dmg taken,Dmg diff,Ring dmg,Rez.,Rspn.,K/D,KA/D,Surv. time
SRZ Re1qz,24,12,7,20,"10,139","11,499","-1,360","1,080",0,2,0.46,0.73,6h 4m 14s
ALL TylerFPS,40,66,61,84,"25,780","25,051",729,"1,009",9,1,1.61,3.1,10h 18m 1s
NAVI KIND4,30,32,39,39,"22,366","21,787",579,834,6,0,1.28,2.84,8h 20m 16s
SSE Luo,24,7,15,12,"9,214","10,126",-912,"1,067",3,2,0.29,0.92,6h 57m 27s
FL mo-mon_,24,20,23,27,"13,050","13,606",-556,169,0,4,0.77,1.65,6h 27m 37s
GN OhSlab,30,44,23,51,"16,361","13,392","2,969",684,2,1,1.57,2.39,8h 2m 25s
NOC mohziin,40,38,43,50,"22,113","23,806","-1,693",647,0,0,0.84,1.8,10h 23m 29s
VKG Kaaasa,34,17,50,18,"18,416","18,431",-15,"1,312",4,2,0.47,1.86,9h 37m 37s
MKS Z1CKKY,40,26,40,32,"14,348","15,852","-1,504","1,321",6,5,0.65,1.65,10h 52m 17s
RC IeNaGa24,30,9,25,10,"7,860","12,026","-4,166",849,6,3,0.3,1.13,8h 5m 42s
GG Lufka,34,42,46,51,"21,460","25,236","-3,776",668,32,2,1.45,3.03,10h 53m 57s
TSM zap,34,60,64,73,"32,974","23,944","9,030","1,715",2,2,1.76,3.65,10h 24m 16s
EXO KSWINNIIE,40,25,72,30,"18,873","17,093","1,780","1,005",3,8,0.66,2.55,10h 36m 28s
KCP Onmuu,24,23,17,30,"14,586","13,214","1,372",878,2,1,0.88,1.54,7h 18m 4s
LGND Gnaske,12,11,18,16,"7,750","10,007","-2,257",240,2,2,0.85,2.23,3h 48m 1s
OLP artiNN1,24,14,23,19,"8,089","11,033","-2,944","1,089",3,5,0.56,1.48,6h 13m 58s
BLD knoqd,34,29,35,33,"19,782","20,931","-1,149","1,469",1,0,0.88,1.94,10h 22m 22s
C9 sauceror,40,39,57,46,"23,782","17,578","6,204",807,4,2,1.03,2.53,11h 11m 28s
NTH ReyzyGG,30,22,12,31,"15,351","15,936",-585,686,2,0,0.71,1.1,8h 12m 35s
SWQ Dount,30,22,18,27,"16,238","15,433",805,"1,178",0,1,0.73,1.33,7h 8m 58s
COL KIMCHI,40,35,52,39,"19,337","20,600","-1,263",922,7,6,0.92,2.29,11h 20m 24s
FOXX HammerDrill,24,8,12,11,"8,619","10,401","-1,782","1,040",8,0,0.32,0.8,6h 14m 33s
FUR Vaxlon,34,41,47,57,"20,662","23,643","-2,981","1,010",16,1,1.14,2.44,10h 34m 29s
GG lighT,34,47,60,57,"29,993","29,859",134,519,4,2,1.57,3.57,10h 51m 17s
OLP KiingZ,24,17,17,22,"11,012","15,326","-4,314","1,234",1,1,0.63,1.26,6h 19m 52s
KCP Deeds,24,13,22,18,"11,954","11,913",41,"1,083",11,1,0.5,1.35,7h 15m 40s
FL Pinotr,24,16,32,18,"9,621","12,133","-2,512",133,2,2,0.57,1.71,6h 25m 56s
MKS DEXTER,40,27,29,37,"17,244","19,808","-2,564","1,654",4,2,0.66,1.37,10h 50m 1s
SWQ YouL1ng,30,24,19,29,"14,704","15,475",-771,"1,708",0,0,0.77,1.39,7h 13m 43s
BLD Shooby,34,33,31,42,"20,602","20,151",451,838,20,1,1.06,2.06,10h 37m 21s
C9 Naughty,40,35,49,41,"20,161","19,856",305,900,4,0,0.95,2.27,11h 8m 15s
RC Ein,30,21,10,25,"15,337","17,857","-2,520",420,2,1,0.7,1.03,8h 15m 5s
SSE TreeCleaner,24,14,9,19,"8,398","12,169","-3,771","1,223",2,0,0.56,0.92,6h 59m 24s
TSM Reps,34,39,86,47,"22,470","18,300","4,170","1,062",6,2,1.11,3.57,10h 25m 50s
NOC Atinum,40,34,67,40,"20,016","18,177","1,839",851,1,10,0.89,2.66,10h 30m 3s
NTH YukaPEROdator,30,10,21,19,"10,244","12,194","-1,950",967,2,5,0.34,1.07,8h 22m 3s
VKG 951,34,41,25,53,"27,012","23,730","3,282","1,333",5,2,1.17,1.89,9h 48m 36s
COL Lou,40,63,49,80,"32,136","29,927","2,209","1,273",11,0,1.5,2.67,11h 37m 6s
FOXX MiaK,24,12,11,20,"9,458","11,919","-2,461",945,0,2,0.48,0.92,6h 16m 7s
GN kaishihaa,30,16,33,22,"12,471","13,733","-1,262",901,9,0,0.57,1.75,8h 3s
EXO Slayers,40,37,36,47,"19,656","19,860",-204,460,6,0,0.93,1.83,10h 24m 44s
FUR Keon,34,38,40,48,"25,717","22,845","2,872","1,386",3,3,1.12,2.29,10h 40m 57s
LGND PlayerKay,30,21,27,25,"15,853","16,050",-197,720,12,2,0.68,1.55,8h 29m 45s
FOXX Meltstera,24,20,14,27,"12,959","11,066","1,893",584,3,3,0.83,1.42,6h 14m 17s
VKG QQ,34,36,30,39,"21,482","20,745",737,"1,585",14,3,1.03,1.89,9h 52m 6s
SSE KingMSG,24,22,10,28,"14,951","14,051",900,838,2,0,0.88,1.28,6h 49m 45s
GN K4SHERA,30,24,47,28,"13,338","12,865",473,853,0,0,0.83,2.45,8h 1m 26s
COL Monsoon,40,47,56,56,"35,254","28,532","6,722","1,353",5,1,1.15,2.51,11h 34m 54s
TSM Verhulst,34,57,51,66,"28,927","21,667","7,260","1,793",8,2,1.73,3.27,10h 27m 51s
OLP Vlatow,24,15,11,18,"9,390","13,708","-4,318","1,315",3,0,0.58,1,6h 17m 22s
C9 ChaoticMuch,40,47,34,55,"29,278","23,749","5,529",758,3,1,1.27,2.19,11h 13m 35s
RC Kernel garcia,30,18,15,24,"12,812","14,695","-1,883",430,4,1,0.6,1.1,8h 15m 29s
EXO Feuda,40,51,39,56,"25,884","24,847","1,037",495,10,0,1.16,2.05,10h 28m 58s
NOC RemixPowers,40,48,40,54,"22,325","24,601","-2,276",512,11,1,1.14,2.1,10h 23m 58s
GG Blasts,34,59,41,70,"22,686","25,796","-3,110",800,5,0,2.03,3.45,10h 54m 42s
MKS ASIAZXD,40,31,32,40,"22,306","22,695",-389,"2,248",6,0,0.78,1.58,10h 54m 48s
SWQ crazycong,30,10,33,15,"9,439","10,450","-1,011","1,674",5,4,0.36,1.54,7h 19m 58s
LGND Amphy,12,17,14,19,"5,266","8,812","-3,546",360,0,2,1.31,2.38,3h 50m 22s
KCP gent,24,22,20,32,"15,053","15,814",-761,"1,464",0,2,0.92,1.75,7h 17m 5s
BLD Dropped,34,50,29,56,"20,026","23,718","-3,692","1,230",2,1,1.61,2.55,10h 34m 7s
NTH Taida,30,24,14,34,"16,811","15,222","1,589",891,9,2,0.75,1.19,8h 14m 33s
FUR ImMadness,34,38,52,44,"22,407","20,083","2,324","1,213",3,7,1.12,2.65,10h 35m 28s
FL Curihara,24,18,14,20,"10,363","13,217","-2,854",346,11,2,0.69,1.23,6h 24m 54s
DF iHateTheWorld,34,58,28,64,"28,963","22,824","6,139","1,567",3,0,1.71,2.53,9h 14m 45s
LGND StrafingFlame,18,13,18,22,"11,290","11,291",-1,210,1,3,0.72,1.72,4h 52m 38s
LGND EzFlashKIDZ,18,18,14,21,"9,459","9,368",91,376,2,0,1,1.78,4h 47m 51s
